"feature_area","feature","wardian","orca_ade","cmux","conductor","t3code","comparison_notes","source_urls"
"Projects","Clone or import hosted repositories","Partial - Git/source-control workflows are present; provider-specific clone matrix not a headline feature","Yes - GitHub and other hosted project links are integrated","Partial - SSH/file open and Git terminal workflows; hosted clone matrix not evidenced","Yes - GitHub repository and repo setup; cloud GitHub integration","Yes - GitHub, GitLab, Bitbucket, Azure DevOps, or any Git URL","T3 has the broadest explicitly documented hosted-provider clone matrix; Conductor Cloud is GitHub-only.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/source-control.md;https://www.onorca.dev/docs/review/github;https://www.conductor.build/docs/cloud;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Projects","Isolated Git worktree per task","Yes - optional per-agent worktrees with assignment, join, enable, disable, and safety checks","Yes - core model; every worktree has its own branch, files, terminals, and lifecycle","Partial - workspace directories and SSH/tmux profiles; Git worktree orchestration not a core claim","Yes - each workspace has its own branch, working tree, terminal, diff, and review","Yes - new worktree option per thread and server-managed project workspaces","Worktree isolation is the clearest overlap among Wardian, Orca, Conductor, and T3; cmux is more surface-oriented.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/source-control.md;https://www.onorca.dev/docs/model/worktrees;https://www.conductor.build/docs/concepts/git-worktrees;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
"Projects","Branch and base-ref control","Yes - agent worktree assignment and Git controls; provider resume is path-bound","Yes - choose base ref, start-from branch, commit, or remote branch","Partial - branch shown in sidebar; branch management is generally terminal/Git driven","Yes - base branch, branch/workspace setup, and isolated working copy","Yes - base branch is preserved for background threads and project workspaces","Orca exposes the richest documented starting-ref controls.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/source-control.md;https://www.onorca.dev/docs/model/worktrees;https://www.conductor.build/docs/first-workspace;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
"Projects","Multiple agents in one shared workspace","Yes - agents can share checkout/worktree; topology and watchlists expose relationships","Partial - parallel worktrees are the primary model; shared worktree behavior is less central","Yes - multiple agents/teammates can become native panes in a workspace","Yes - multiple agents can use one shared workspace/branch","Partial - multiple threads can target a workspace; separate worktrees are recommended for isolation","Conductor explicitly supports both separate workspaces and shared-agent workspaces.","https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://www.onorca.dev/docs/model/worktrees;https://cmux.com/;https://www.conductor.build/docs/concepts/parallel-agents;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
"Projects","Project setup scripts","Partial - workspace initialization and project setup exist; script contract is less central","Partial - worktree setup hooks and project configuration","Partial - custom commands/config can automate setup; no project setup lifecycle documented","Yes - .conductor/settings.toml setup, run, archive, copies, symlinks, and generated files","Partial - project settings and server environment setup; explicit Conductor-style setup contract not evidenced","Conductor has the most explicit project setup contract.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/getting-started.md;https://www.onorca.dev/docs/agents/hooks-memory;https://github.com/manaflow-ai/cmux-skills;https://www.conductor.build/docs/configure-your-project;https://github.com/pingdotgg/t3code/blob/main/docs/user/project-settings.md"
"Projects","Run scripts and local preview process","Partial - terminal/workflow shell execution and workspace launch are supported","Partial - terminals and port forwarding; dedicated run-script model not evidenced","Partial - terminal commands and custom commands","Yes - run scripts, dev servers, watcher/test modes, and per-workspace ports","Partial - terminal and server-side commands; project run scripts not a headline documented feature","Conductor and T3 both expose project/runtime setup, but Conductor documents the convention more explicitly.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/automations.md;https://www.onorca.dev/docs/ssh;https://github.com/manaflow-ai/cmux-skills;https://www.conductor.build/docs/concepts/testing;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Projects","Workspace environment variables","Partial - WARDIAN_HOME and workspace/provider settings; workflow parameters are supported","Partial - remote/worktree environment and provider settings","Partial - cwd and shell context; CMUX_* identifiers","Yes - CONDUCTOR_WORKSPACE_* variables and setup/run environment","Yes - server/environment variables, T3 environment IDs, and provider-scoped secrets","All have environment context, but Conductor and T3 document product-specific variable contracts.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/cli.md;https://www.onorca.dev/docs/ssh;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/docs/cloud/environment-variables;https://github.com/pingdotgg/t3code/blob/main/docs/user/remote-access.md"
"Projects","File copies symlinks and generated setup","Partial - workspace and worktree filesystem support; exact project-copy contract not evidenced","Yes - shared directories and .worktreeinclude","Partial - drag/drop copy/upload and remote file handling","Yes - file copies, symlinks, generated files, and project/user settings layering","Partial - filesystem management and uploaded attachments; project setup copy contract not evidenced","Conductor's project configuration is unusually explicit here.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/source-control.md;https://www.onorca.dev/docs/model/worktrees;https://cmux.com/docs/ssh;https://www.conductor.build/docs/configure-your-project;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
"Projects","Project grouping and workspace hierarchy","Partial - teams, watchlists, Graph topology, and Garden districts organize agents","Yes - projects, parent/child worktrees, grouping, pinning, archiving, and filters","Partial - workspace groups and tabs; no worktree hierarchy equivalent evidenced","Partial - projects and workspace lists; hierarchy beyond project/workspace not evidenced","Partial - projects, environments, thread sidebar, pinned/settled threads; no worktree hierarchy evidenced","Orca has the richest documented worktree hierarchy; Wardian has richer ecological/topological grouping.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/garden.md;https://github.com/wardian-app/Wardian/blob/main/docs/guide/watchlists.md;https://www.onorca.dev/docs/model/worktrees;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/docs/concepts/workspaces-and-branches;https://github.com/pingdotgg/t3code/blob/main/docs/user/thread-sidebar.md"
"Projects","Archive sleep delete and lifecycle cleanup","Yes - agent/worktree delete and lifecycle controls with safety boundaries","Yes - archive/delete worktrees; hibernate idle agents","Partial - close/restore panes and session state; Git workspace cleanup not a core feature","Yes - archive, merge, sleep/wake cloud workspaces, and review lifecycle","Yes - archive/sleep/unarchive environments and settle threads","All expose cleanup, but the unit differs: agent, worktree, pane, workspace, or environment.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/source-control.md;https://www.onorca.dev/docs/model/worktrees;https://www.onorca.dev/docs/agents/hibernation;https://cmux.com/;https://www.conductor.build/docs/api;https://github.com/pingdotgg/t3code/blob/main/docs/internals/remote.md"
"Projects","Workspace status comments and checkpoints","Partial - agent/workflow state and source-control status; checkpoint semantics are workflow/runtime focused","Yes - free-text worktree checkpoint comment plus todo/in-progress/in-review/completed status","Partial - sidebar status, progress, logs, and notifications; no worktree checkpoint model evidenced","Partial - workspace status, checks, PR state, and review lifecycle; free-text checkpoint field not evidenced","Yes - persistent checkpoints and checkpoint revert in orchestration runtime","Checkpoint is a clear T3 feature; Orca has a similar worktree checkpoint UX.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/inbox.md;https://www.onorca.dev/docs/cli/worktree-checkpoints;https://www.conductor.build/docs/reference/checks;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Projects","Search filter pin and multi-select organization","Yes - agent filters, Watchlists, Graph scopes, Library search, Workbench tabs, and roster selection","Yes - search/filter by project/status/PR, pin/archive, multi-select","Partial - quick open, jump palette, workspace groups, and sidebar filters","Yes - Home filters, pinned/My work, teammate/project/archived views","Yes - thread sidebar, pinned/settled organization, environment selection, and filters","All have navigation/filtering; Wardian and Orca emphasize agent/worktree organization most strongly.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/watchlists.md;https://www.onorca.dev/docs/model/agents-sessions;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/docs/cloud/collaboration;https://github.com/pingdotgg/t3code/blob/main/docs/user/thread-sidebar.md"
"Agents","Supported first-class providers","Yes - six provider CLIs: Antigravity, Claude, Codex, OpenCode, Pi, and Gemini CLI; Gemini is unmaintained and Antigravity is preferred","Yes - Claude Code, Codex, Grok, Cursor, GitHub Copilot, OpenCode, Pi, and many more","Partial - supports any CLI; Claude Code Teams and oh-my-opencode are called out","Yes - Claude Code, Codex, Cursor, and OpenCode first-party","Yes - Codex, Claude, Cursor, Grok Build, and OpenCode","Provider lists change; this row reflects current first-party docs/repositories reviewed on the comparison date.","https://github.com/wardian-app/Wardian/blob/main/README.md;https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://github.com/stablyai/orca;https://cmux.com/;https://www.conductor.build/docs;https://github.com/pingdotgg/t3code/blob/main/docs/user/install.md"
"Agents","Any arbitrary CLI agent","Partial - custom arguments and terminal support, but native orchestration is provider-aware","Yes - explicit any CLI support","Yes - core terminal premise is any CLI","Partial - terminal can run commands; agent integrations are curated","Yes - provider CLIs are external and configurable; arbitrary CLI terminal use is available","Orca and cmux make arbitrary CLI support explicit; Wardian/T3 add structured provider integrations.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/agents-overview.md;https://github.com/stablyai/orca;https://cmux.com/;https://www.conductor.build/docs/reference/big-terminal-mode;https://github.com/pingdotgg/t3code/blob/main/docs/user/install.md"
"Agents","Provider binary path and launch options","Yes - provider-specific launch options, custom arguments, headless flags, and shell/session policy","Partial - provider guides and supported agents; per-provider launch controls less fully evidenced","Partial - shell, config, custom commands, and terminal environment","Partial - agent behavior, project instructions, and run modes; binary configuration less central","Yes - binary discovery/path, provider cards, environment variables, launch options, and server-side provider config","T3 and Wardian expose the most explicit provider launch configuration in their docs.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/agents-overview.md;https://www.onorca.dev/docs/agents/supported;https://github.com/manaflow-ai/cmux-skills;https://www.conductor.build/docs/reference/agent-behavior;https://github.com/pingdotgg/t3code/blob/main/docs/user/install.md"
"Agents","Provider readiness and authentication status","Yes - provider readiness checks, auth status, supported-provider validation, and failure before launch","Partial - account switcher/usage and provider guides; readiness details not as explicit","Not evidenced in reviewed first-party sources beyond CLI/provider behavior","Partial - agent credentials and provider setup checks","Yes - settings show authenticated/ready/missing provider state; auth happens on server","This is separate from runtime Action Needed prompts.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/provider-readiness.md;https://www.onorca.dev/docs/agents/usage-tracking;https://www.conductor.build/docs/installation;https://github.com/pingdotgg/t3code/blob/main/docs/user/install.md;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Agents","Models and reasoning controls","Yes - provider-discovered models and reasoning effort; selected provider controls differ","Partial - model/account usage is documented; universal model controls not evidenced","Not evidenced as a native model picker; terminal agent owns model choice","Yes - agent modes, reasoning/thinking, and provider-specific support matrix","Yes - model pickers, OpenCode model catalogs, Codex/Claude configuration, Grok reasoning levels","Wardian and T3 expose model state in their own UI; cmux generally leaves this to the CLI.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/agents-overview.md;https://www.onorca.dev/docs/agents/usage-tracking;https://www.conductor.build/docs/concepts/agent-modes;https://github.com/pingdotgg/t3code/blob/main/docs/user/providers-opencode.md"
"Agents","Multiple provider accounts or profiles","Partial - provider instances/settings exist; account switching is provider-specific","Yes - account switcher and multi-account usage","Not evidenced as a cmux account-management feature","Partial - own subscriptions/API keys and provider setup; account switching not a central feature","Yes - multi-account Codex/Claude provider instances, shadow homes, emails, endpoints, and secrets","T3 has the most explicit multi-account workflows; Orca documents account switching and usage.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/provider-readiness.md;https://www.onorca.dev/docs/agents/usage-tracking;https://www.conductor.build/docs/cloud;https://github.com/pingdotgg/t3code/blob/main/docs/user/providers-codex.md;https://github.com/pingdotgg/t3code/blob/main/docs/user/providers-claude.md"
"Agents","Spawn or launch an agent","Yes - GUI and CLI spawn with class/provider/name/workspace/model/reasoning","Yes - create worktree and launch agent/session","Partial - create workspaces/panes and launch CLI commands","Yes - launch agents into new or shared workspaces","Yes - new thread/task, background thread, and provider session start","All support launch; Wardian and T3 explicitly expose agent/session spawn semantics.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/cli.md;https://www.onorca.dev/docs/model/agents-sessions;https://cmux.com/;https://www.conductor.build/docs/first-workspace;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
"Agents","Parallel agents and fan-out","Yes - teams, workflows, broadcast, watchlists, and parallel agent sessions","Yes - fan one prompt across five isolated worktrees and compare/merge","Yes - subagents/teammates become native panes/splits","Yes - multiple parallel workspaces or agents in one workspace","Partial - background threads and multiple workspaces; orchestration is runtime-supported but less productized than Orca/Conductor","Parallelism exists in all five, but the unit and control plane differ.","https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://www.onorca.dev/docs/model/worktrees;https://cmux.com/;https://www.conductor.build/docs/concepts/parallel-agents;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Agents","Shared teams or native subagents","Yes - Teams seed topology edges; agent classes and workflow assignments provide roles","Partial - nested subagents and agent teams are visible; team authoring model not fully documented","Yes - Claude Code Teams and oh-my-opencode teammates in native splits","Partial - multiple agents may share a workspace; no native team graph documented","Partial - threads may create child work; provider subagents are surfaced when reported","cmux is strongest on provider-team panes; Wardian is strongest on durable topology/team relationship modeling.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/graph.md;https://www.onorca.dev/docs/model/agents-sessions;https://cmux.com/;https://www.conductor.build/docs/concepts/parallel-agents;https://github.com/pingdotgg/t3code/blob/main/docs/user/providers-codex.md"
"Agents","Agent roles classes or reusable setups","Yes - Agent Classes, reusable Library entries, skills, prompts, and class instructions","Partial - skills registry/MCP and provider hooks; no Wardian-style class library evidenced","Partial - skills and config/custom commands; no class abstraction","Partial - agent behavior/instruction files and reusable slash commands","Partial - provider configuration, skills, commands, and project settings; no class registry evidenced","Wardian's class/library model is a distinctive capability.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/library.md;https://www.onorca.dev/docs/cli/skills;https://github.com/manaflow-ai/cmux-skills;https://www.conductor.build/docs/reference/slash-commands;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
"Agents","Autonomy modes and planning controls","Yes - provider launch modes, headless/background mode, workflow agent modes, and approval policy","Partial - full autonomy default with configurable launch behavior","Not evidenced as product-level autonomy modes; agent CLI owns policy","Yes - Plan Mode, Fast Mode, reasoning, goals, and provider-specific modes","Yes - Supervised, Auto-accept edits, Auto, and Full access; per-thread","T3 has the clearest user-facing four-mode permission model; Conductor exposes planning/fast agent modes.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/agents-overview.md;https://www.onorca.dev/docs/model/agents-sessions;https://www.conductor.build/docs/concepts/agent-modes;https://github.com/pingdotgg/t3code/blob/main/docs/user/permission-modes.md"
"Agents","Permission prompts and sandbox policy","Yes - provider approvals and manual Wardian approval requests are distinct and persisted","Partial - computer-use permission gate and provider permissions","Partial - native terminal/CLI permissions; no unified sandbox policy evidenced","Yes - local permissions versus cloud sandbox and agent permissions","Yes - supervised/auto/full access, provider-specific mapping, approval responses, and mobile handling","Wardian's provider Action Needed versus workflow/manual approval distinction is modeled explicitly.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/inbox.md;https://www.onorca.dev/docs/cli/computer-use;https://www.conductor.build/docs/reference/security-and-permissions;https://github.com/pingdotgg/t3code/blob/main/docs/user/permission-modes.md"
"Agents","Start and session lifecycle states","Yes - Idle, Processing, Action Required, Error, Off plus provider evidence and terminal lifecycle","Yes - working, waiting, done, blocked, idle from OSC/hooks","Partial - active/unread/attention and terminal process lifecycle; normalized agent states not central","Partial - workspace/agent states and checks; product lifecycle labels less uniform","Yes - threads, turns, approvals, waiting input, completion, stopped, and provider session events","Normalization depth differs: Wardian/T3 have explicit runtime projections; cmux exposes attention and terminal state.","https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://www.onorca.dev/docs/model/agents-sessions;https://cmux.com/;https://www.conductor.build/docs;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Agents","Pause stop resume restart","Yes - pause, resume, restart, clear, kill, clone, wait, and watch actions","Yes - restart chip, hibernation auto-resume, session controls","Partial - close/reopen panes and restart commands; provider session lifecycle not unified","Partial - stop/restart/sleep/wake workspace/agent flows","Yes - session stop, turn interrupt, server restart/reconnect, and thread lifecycle","Orca and Wardian expose rich agent lifecycle actions; T3 has the most explicit orchestration command vocabulary.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/watchlists.md;https://www.onorca.dev/docs/model/agents-sessions;https://www.conductor.build/docs/cloud/working-with-cloud-workspaces;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Agents","Idle agent hibernation","Partial - session persistence and lifecycle controls; automatic hibernation not evidenced","Yes - pause idle/done background agent terminals and auto-resume","Yes - opt-in routine Agent Hibernation kills idle background agent processes and resumes their saved sessions; critical-memory safety hibernation remains","Partial - cloud sleep/wake for environments; agent-specific hibernation not evidenced","Not evidenced as an automatic idle-agent hibernation feature","Do not conflate cloud workspace sleep with agent-terminal hibernation.","https://www.onorca.dev/docs/agents/hibernation;https://github.com/manaflow-ai/cmux/blob/main/docs/agent-hooks.md;https://github.com/manaflow-ai/cmux/blob/main/docs/configuration.md;https://www.conductor.build/docs/cloud/working-with-cloud-workspaces;https://github.com/pingdotgg/t3code/blob/main/docs/internals/remote.md"
"Agents","Session history and transcript discovery","Yes - saved history, conversation archive, telemetry, logs, and agent session inspection","Yes - scans on-disk transcripts; search by title/cwd/branch/model/preview and resume","Partial - scrollback/session restore; transcript history search not a core feature","Partial - chats/transcripts shared in collaboration; archival search not richly documented","Yes - thread sidebar/history, persisted event log, transcript projections, and environment scope","Orca and T3 explicitly describe transcript discovery; Wardian emphasizes inspectable state and provider evidence.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/cli.md;https://www.onorca.dev/docs/agents/session-history;https://www.conductor.build/docs/cloud/collaboration;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Agents","Session restore after restart or crash","Yes - terminal/session state survives tab moves, pane changes, remote handoff, and app restart where provider permits","Yes - restores worktrees, tabs, splits, scrollback, focus, and running agent processes via daemon","Yes - restores windows, workspaces, panes, cwd, scrollback, browser state, and agent sessions","Partial - cloud workspace persists after laptop closes; local UI restore details not as explicit","Yes - durable server runtime, reconnect, client/server sync, and session persistence","All have restore behavior, but Orca/cmux document UI restoration most explicitly.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/workbench.md;https://www.onorca.dev/docs/model/session-restore;https://cmux.com/;https://www.conductor.build/docs/cloud;https://github.com/pingdotgg/t3code/blob/main/docs/internals/remote.md"
"Agents","Native structured agent chat","Yes - normalized chat cards over provider events plus real terminal mode","Yes - experimental Chat UI over same PTY for supported providers","Not evidenced as a structured transcript composer; terminal is primary","Partial - shared chat/transcript and prompt together; not a general native chat across all agents","Yes - message composer and provider runtime with structured assistant/tool/approval events","Wardian and T3 both normalize provider events; Orca's chat is explicitly experimental and PTY-backed.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/grid.md;https://www.onorca.dev/docs/agents/native-chat;https://www.conductor.build/docs/cloud/collaboration;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Agents","Send follow-up steer or interrupt","Yes - CLI send/stdin/file, ask/reply, prompt injection, interrupt, and native delivery broker","Yes - steer agents, follow-ups, and prompt from mobile/Chat UI","Yes - send input through CLI/socket and terminal panes","Yes - prompt together, chat, and agent session controls","Yes - send turns, interrupt turns, provider approvals/input responses, and background thread launch","This is a key overlap, but provider acknowledgement is not the same as completed work.","https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://www.onorca.dev/docs/agents/native-chat;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Agents","Attachments and file-aware prompts","Yes - chat composer file picker/drops/pastes and filesystem-backed artifacts","Yes - drag files/images to agents and editor autosave","Partial - drag image upload over SSH and file open; agent prompt attachment model not central","Yes - attach files, notes, specs, screenshots, logs, and .context to workspace","Yes - images and text/PDF/ZIP/other file attachments with server upload limits","Attachment semantics vary from prompt context to workspace artifacts to terminal file transfer.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/grid.md;https://github.com/stablyai/orca;https://cmux.com/docs/ssh;https://www.conductor.build/docs/first-workspace;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
"Agents","Prompt stash or draft persistence","Partial - prompt/library storage and conversation persistence; dedicated stash not evidenced","Partial - draft persistence in native Chat UI","Not evidenced in reviewed first-party sources","Partial - chat and transcript collaboration; dedicated prompt stash not evidenced","Yes - prompt stash with attachments, restore, expiry, and retry upload","T3's prompt stash is a distinctive documented feature.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/library.md;https://www.onorca.dev/docs/agents/native-chat;https://www.conductor.build/docs/cloud/collaboration;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
"Agents","Slash commands skills and prompt reuse","Yes - Library prompts, skills, classes, provider-native skill deployment, and CLI access","Yes - slash commands, discovered skills, skills registry/MCP","Yes - skills collection, custom commands, and agent skills","Yes - .claude/commands Markdown prompt files, skills, AGENTS.md/CLAUDE.md","Yes - slash command menu, project/system/personal/app skills, and provider-native command deduplication","This is one of the broadest overlaps; Wardian adds a durable Library and class model.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/library.md;https://www.onorca.dev/docs/cli/skills;https://github.com/manaflow-ai/cmux-skills;https://www.conductor.build/docs/reference/slash-commands;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
